"Social Security Administration",http://www.ssa.gov/data.json
"Department of Agriculture",http://www.usda.gov/data.json
"Department of Defense",http://www.defense.gov/data.json
"Department of Education",http://www.ed.gov/data.json
"Department of Energy",http://www.energy.gov/data.json
"Department of Health and Human Services",http://www.hhs.gov/data.json
"Department of Housing and Urban Development",http://www.hud.gov/data.json
"Department of Justice",http://www.usdoj.gov/data.json
"Department of Labor",http://www.dol.gov/data.json
"Department of State",http://www.state.gov/data.json
"Department of the Interior",http://www.doi.gov/data.json
"Department of the Treasury",http://www.ustreas.gov/data.json
"Department of Transportation",http://www.dot.gov/data.json
"Department of Veterans Affairs",http://www.va.gov/data.json
"General Services Administration",http://www.gsa.gov/data.json
"National Aeronautics and Space Administration",http://www.nasa.gov/data.json
"National Archives and Records Administration",http://www.archives.gov/data.json
"National Science Foundation",http://www.nsf.gov/data.json
"Nuclear Regulatory Commission",http://www.nrc.gov/data.json
"Office of Personnel Management",http://www.opm.gov/data.json
"U.S. Agency for International Development",http://www.usaid.gov/data.json
"Committee on Foreign Investment in the United States",http://www.treasury.gov/data.json
"Consumer Financial Protection Bureau",http://www.consumerfinance.gov/data.json
"Economic, Business and Agricultural Affairs",http://www.state.gov/data.json
"Federal Interagency Committee on Education",http://www.ed.gov/data.json
"Federal Student Aid Information Center",http://www2.ed.gov/data.json
"Foreign Claims Settlement Commission",http://www.usdoj.gov/data.json
"Global Affairs",http://www.state.gov/data.json
"Millennium Challenge Corporation",http://www.mcc.gov/data.json
"Political Affairs",http://www.state.gov/data.json
"Public Diplomacy and Public Affairs",http://www.state.gov/data.json
"Securities and Exchange Commission",http://www.sec.gov/data.json